epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0308,1.70422,2.71636,1.19163,0.01362,0.76064,0.04719,0.01776,1.28575,3.54465,0.94359,0.00044,0.00044,0.00044
2,145.231,1.44062,1.61698,1.06327,0.01438,0.80319,0.02837,0.01169,1.23798,3.36186,0.9442,0.00089109,0.00089109,0.00089109
3,216.814,1.34933,1.49937,1.07627,0.01629,0.90957,0.02899,0.01543,1.29997,3.0669,1.03434,0.00133307,0.00133307,0.00133307
4,285.613,1.31217,1.33262,1.05707,0.10935,0.26596,0.11534,0.06665,1.34561,2.33199,0.97273,0.00176595,0.00176595,0.00176595
5,352.283,1.34358,1.33808,1.08314,0.16291,0.57979,0.14902,0.08315,1.33925,2.23555,1.01655,0.0019208,0.0019208,0.0019208
6,418.513,1.29152,1.30574,1.05882,0.60015,0.71809,0.59407,0.3757,1.25408,1.50264,0.94909,0.001901,0.001901,0.001901
7,484.803,1.29568,1.24807,1.04547,0.6242,0.7766,0.66215,0.41493,1.30094,1.34978,0.98393,0.0018812,0.0018812,0.0018812
8,551.203,1.27039,1.20645,1.04451,0.77885,0.80551,0.79812,0.55512,1.08807,1.19007,0.95231,0.0018614,0.0018614,0.0018614
9,618.655,1.17307,1.10319,0.99597,0.84004,0.76064,0.81562,0.52729,1.23853,1.12901,0.94952,0.0018416,0.0018416,0.0018416
10,685.273,1.19036,1.13797,1.01544,0.84456,0.77128,0.82546,0.55603,1.04349,1.02349,0.90576,0.0018218,0.0018218,0.0018218
11,752.083,1.173,1.09492,1.00855,0.77212,0.85106,0.82331,0.56784,1.07218,0.96692,0.90635,0.001802,0.001802,0.001802
12,817.824,1.13447,1.05613,1.01071,0.79343,0.83511,0.80553,0.528,1.14854,1.06112,0.92256,0.0017822,0.0017822,0.0017822
13,884.266,1.15093,1.03547,0.99162,0.82744,0.79069,0.82445,0.54121,1.17775,0.91365,0.89959,0.0017624,0.0017624,0.0017624
14,950.929,1.12308,1.02541,0.99266,0.80195,0.80851,0.83431,0.58451,1.06378,0.88005,0.92178,0.0017426,0.0017426,0.0017426
15,1016.75,1.11046,1.00525,0.97761,0.81773,0.78749,0.83197,0.54312,1.18399,0.84686,0.91349,0.0017228,0.0017228,0.0017228
16,1082.79,1.08174,0.96642,0.98789,0.80521,0.81353,0.82815,0.57397,1.06347,0.91583,0.89069,0.001703,0.001703,0.001703
17,1148.42,1.16213,1.03624,1.00407,0.78851,0.84043,0.83522,0.55896,1.21228,0.86807,0.9128,0.0016832,0.0016832,0.0016832
18,1213.96,1.08789,0.9703,0.98674,0.77175,0.86327,0.82249,0.57186,1.01104,0.84613,0.89479,0.0016634,0.0016634,0.0016634
19,1279.55,1.05045,0.94442,0.97553,0.76241,0.8617,0.84222,0.59084,1.07085,0.82176,0.90798,0.0016436,0.0016436,0.0016436
20,1345.84,1.08543,0.96519,0.97254,0.7858,0.84043,0.81698,0.57761,1.05149,0.8744,0.91303,0.0016238,0.0016238,0.0016238
21,1411.04,1.07589,0.93109,0.97324,0.81098,0.79877,0.8406,0.58553,1.00891,0.78692,0.89956,0.001604,0.001604,0.001604
22,1477.81,1.05297,0.90032,0.96138,0.77263,0.81383,0.80691,0.56485,1.02063,0.87451,0.90177,0.0015842,0.0015842,0.0015842
23,1546.47,1.02591,0.90411,0.97072,0.77113,0.80649,0.8252,0.55686,1.13284,0.92361,0.89853,0.0015644,0.0015644,0.0015644
24,1612.67,0.99557,0.87124,0.94209,0.79519,0.82611,0.83914,0.60204,0.9851,0.80879,0.89903,0.0015446,0.0015446,0.0015446
25,1679.63,1.02896,0.89047,0.96673,0.77603,0.77409,0.79257,0.57752,0.93429,1.2038,0.92363,0.0015248,0.0015248,0.0015248
26,1747.43,1.02774,0.89112,0.95679,0.80091,0.83455,0.82329,0.60454,0.9854,0.80011,0.91646,0.001505,0.001505,0.001505
27,1821.13,1.03122,0.89086,0.94699,0.78137,0.84043,0.82114,0.5581,1.12612,0.87178,0.91364,0.0014852,0.0014852,0.0014852
28,1896.09,1.03778,0.88001,0.95064,0.83207,0.79065,0.84448,0.57509,0.9893,0.797,0.90494,0.0014654,0.0014654,0.0014654
29,1972.3,1.03343,0.87936,0.95495,0.8406,0.79255,0.85527,0.59267,1.05345,0.83635,0.89907,0.0014456,0.0014456,0.0014456
30,2047.52,0.9596,0.81697,0.92558,0.81039,0.81915,0.82639,0.54324,1.13535,1.14388,0.91898,0.0014258,0.0014258,0.0014258
31,2117.49,0.9997,0.84475,0.93695,0.81993,0.79929,0.82453,0.59022,1.03834,0.80827,0.89261,0.001406,0.001406,0.001406
32,2189.76,0.95973,0.81515,0.92892,0.81439,0.81915,0.81663,0.58981,0.96646,0.77766,0.90208,0.0013862,0.0013862,0.0013862
33,2261.64,0.95851,0.81298,0.93964,0.83619,0.81915,0.84649,0.61832,0.93349,0.7208,0.90115,0.0013664,0.0013664,0.0013664
34,2334.5,0.92776,0.79533,0.90953,0.7976,0.81749,0.83871,0.61576,0.97886,0.74867,0.90355,0.0013466,0.0013466,0.0013466
35,2407.3,0.96687,0.82768,0.93468,0.80221,0.84574,0.83288,0.57755,1.00019,0.7827,0.92504,0.0013268,0.0013268,0.0013268
36,2482.48,0.92989,0.78357,0.92454,0.79516,0.85638,0.85307,0.61363,0.96536,0.76001,0.9179,0.001307,0.001307,0.001307
37,2554.59,0.95858,0.80123,0.92681,0.84191,0.79787,0.84248,0.60764,0.97172,0.77416,0.90738,0.0012872,0.0012872,0.0012872
