epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5026,1.10101,5.17707,0.00632,0.00424,0.82353,0.11239,0.06205,0.40363,8.2821,0.00286,4e-05,4e-05,4e-05
2,31.9722,1.13885,4.87355,0.00663,0.00455,0.88235,0.22082,0.10309,0.77288,8.65366,0.00663,9.967e-05,9.967e-05,9.967e-05
3,43.6233,0.98481,4.63106,0.00441,0.00455,0.88235,0.38022,0.21873,0.75849,8.78598,0.00667,0.000158944,0.000158944,0.000158944
4,55.0216,0.9169,4.15511,0.00467,0.00455,0.88235,0.37296,0.29322,0.72994,8.54538,0.0061,0.000217822,0.000217822,0.000217822
5,66.538,0.79417,4.20718,0.00384,0.00485,0.94118,0.52793,0.42725,0.60431,8.48957,0.00545,0.000276304,0.000276304,0.000276304
6,77.9959,1.09599,3.35867,0.00387,0.00485,0.94118,0.50642,0.4034,0.59255,8.46619,0.00542,0.00033439,0.00033439,0.00033439
7,89.6571,1.07081,3.51245,0.00546,0.00455,0.88235,0.44806,0.32527,0.74531,8.57926,0.00641,0.00039208,0.00039208,0.00039208
8,101.21,1.04599,3.50846,0.00432,0.00455,0.88235,0.44763,0.3268,0.75711,8.54042,0.00607,0.000449374,0.000449374,0.000449374
9,112.975,0.88568,3.95174,0.00443,0.00485,0.94118,0.48133,0.35194,0.77594,8.38285,0.00681,0.000506272,0.000506272,0.000506272
10,124.42,0.94129,3.92792,0.00616,0.00485,0.94118,0.53558,0.43261,0.70257,8.17596,0.00641,0.000562774,0.000562774,0.000562774
11,135.704,0.93398,3.30579,0.00584,0.00485,0.94118,0.56186,0.46716,0.6458,7.99893,0.00597,0.00061888,0.00061888,0.00061888
12,146.994,1.14698,3.42936,0.00668,0.01928,0.76471,0.578,0.4283,0.87194,8.1877,0.00848,0.00067459,0.00067459,0.00067459
13,158.346,0.99937,3.03948,0.00495,0.00455,0.88235,0.56744,0.48058,0.77941,8.03976,0.00662,0.000729904,0.000729904,0.000729904
14,170.056,1.03975,3.05077,0.00562,0.00455,0.88235,0.52226,0.43958,0.68062,7.98404,0.00556,0.000784822,0.000784822,0.000784822
15,182.513,0.98565,3.05798,0.00545,0.00364,0.70588,0.46526,0.31071,0.68437,8.14667,0.00572,0.000839344,0.000839344,0.000839344
16,195.465,1.03812,3.14816,0.00596,0.00394,0.76471,0.4136,0.26666,0.7229,8.17479,0.00628,0.00089347,0.00089347,0.00089347
17,207.312,0.9871,3.21779,0.00517,0.00424,0.82353,0.48279,0.3802,0.96082,7.8198,0.00784,0.0009472,0.0009472,0.0009472
18,218.951,1.09384,2.90927,0.0057,0.24667,0.82353,0.57847,0.49356,0.76371,7.41697,0.00563,0.00100053,0.00100053,0.00100053
19,230.366,1.0064,3.17032,0.00643,0.87261,0.41176,0.63431,0.54704,0.72601,7.10529,0.00632,0.00105347,0.00105347,0.00105347
20,242.122,1.05624,2.65946,0.00497,0.957,0.47059,0.72667,0.5728,0.86926,7.07632,0.00879,0.00110601,0.00110601,0.00110601
21,253.291,1.2615,2.60306,0.00599,0.70662,0.64706,0.73238,0.53354,1.18454,7.20907,0.01187,0.00115816,0.00115816,0.00115816
22,264.692,1.08834,3.01389,0.00816,0.81635,0.52349,0.77928,0.5733,1.20899,6.91132,0.01142,0.00120991,0.00120991,0.00120991
23,275.986,1.10698,2.42274,0.00552,0.75813,0.55427,0.78074,0.62101,0.96694,6.53362,0.00805,0.00126126,0.00126126,0.00126126
24,287.203,1.22612,2.00416,0.00417,0.75918,0.58824,0.82138,0.69421,0.72573,6.2299,0.00574,0.00131222,0.00131222,0.00131222
25,298.426,1.24233,2.69421,0.00596,0.78602,0.64832,0.8502,0.73626,0.68491,6.11059,0.00518,0.00136278,0.00136278,0.00136278
26,309.407,0.98764,2.54622,0.00556,0.76678,0.58073,0.82058,0.63688,0.92131,6.24364,0.00825,0.00141295,0.00141295,0.00141295
27,321.289,0.99617,2.27555,0.00494,0.79659,0.69182,0.77516,0.52212,1.20128,6.35911,0.01143,0.00146272,0.00146272,0.00146272
28,332.986,0.956,2.47576,0.00651,0.7718,0.70588,0.86992,0.59995,1.25626,6.19518,0.01179,0.00151209,0.00151209,0.00151209
29,344.544,1.11959,2.31114,0.00537,0.7718,0.70588,0.86992,0.59995,1.25626,6.19518,0.01179,0.00156107,0.00156107,0.00156107
30,355.533,1.06035,2.43725,0.00624,0.87633,0.64706,0.90242,0.65985,1.08016,5.85825,0.01022,0.00160965,0.00160965,0.00160965
31,366.472,0.90335,2.2902,0.00567,0.79889,0.70131,0.90123,0.65457,1.1033,5.74891,0.01144,0.00165784,0.00165784,0.00165784
32,377.401,1.16528,1.94729,0.00501,0.81492,0.77761,0.94327,0.66661,1.16242,5.58634,0.0121,0.00170563,0.00170563,0.00170563
33,388.243,1.05929,2.13339,0.00547,0.81492,0.77761,0.94327,0.66661,1.16242,5.58634,0.0121,0.00175302,0.00175302,0.00175302
34,399.397,1.19556,2.17618,0.00635,0.83629,0.76471,0.91985,0.68493,1.11607,5.37169,0.0109,0.0017822,0.0017822,0.0017822
35,410.324,1.07873,2.37076,0.00575,0.82085,0.76471,0.86644,0.63628,1.07913,5.44351,0.01033,0.0017756,0.0017756,0.0017756
36,421.262,1.12039,1.97761,0.00602,0.81212,0.76291,0.83595,0.5945,1.15897,5.36987,0.01219,0.001769,0.001769,0.001769
37,433.129,1.02216,1.93999,0.00521,0.81212,0.76291,0.83595,0.5945,1.15897,5.36987,0.01219,0.0017624,0.0017624,0.0017624
38,445.706,1.14634,1.92764,0.00541,0.58772,0.82353,0.73771,0.52209,1.19569,5.19338,0.01175,0.0017558,0.0017558,0.0017558
39,457.755,1.03743,1.87028,0.00562,0.51609,0.94118,0.70522,0.51621,1.16441,4.98949,0.01147,0.0017492,0.0017492,0.0017492
40,469.126,1.06894,1.86177,0.00549,0.7791,0.62345,0.80917,0.60435,1.03399,4.67698,0.00999,0.0017426,0.0017426,0.0017426
41,480.488,1.04273,1.92167,0.00546,0.7791,0.62345,0.80917,0.60435,1.03399,4.67698,0.00999,0.001736,0.001736,0.001736
42,491.734,1.10856,1.75708,0.00552,0.75464,0.72444,0.84383,0.60701,1.13509,4.34698,0.01105,0.0017294,0.0017294,0.0017294
43,503.388,1.18523,1.99318,0.0052,0.7605,0.93422,0.88204,0.67466,0.97311,3.97489,0.00884,0.0017228,0.0017228,0.0017228
44,517.001,0.94591,1.7819,0.00539,0.82508,0.88235,0.91005,0.69556,0.98498,3.70363,0.00948,0.0017162,0.0017162,0.0017162
45,528.372,1.08591,1.79036,0.00653,0.82508,0.88235,0.91005,0.69556,0.98498,3.70363,0.00948,0.0017096,0.0017096,0.0017096
46,539.262,1.15637,1.60073,0.00586,0.75573,0.82353,0.88201,0.61128,1.29021,3.91287,0.01342,0.001703,0.001703,0.001703
